발생년월일,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,법규위반,도로형태_대분류,도로형태,당사자종별_1당_대분류,당사자종별_2당_대분류,경도,위도,발생지,사고피해정도,사고차량타입,도시여부,주말/공휴일,인구수,발생지번호,보행자의위치,무단횡단여부
2019-01-10,0,3,1,1,0,0,0,충남,당진시,1,5,0,1,2,1,11,126.7834,36.9452,충남당진시,0,화물차특수차,0,0,0,46,0,0
2019-01-11,0,4,1,3,0,1,0,경북,영천시,1,1,0,0,0,5,3,129.0087,35.9097,경북영천시,0,특수차화물차,0,0,0,5,0,0
2019-01-11,1,4,1,3,0,1,0,경기,양주시,1,8,6,1,1,0,2,127.0463,37.8106,경기양주시,0,승용차승용차,0,0,0,59,0,0
2019-01-11,1,4,1,1,0,0,0,충북,진천군,1,1,0,1,1,1,7,127.4439,36.9889,충북진천군,0,화물차원동기장치자전거,0,0,0,60,0,0
2019-01-11,1,4,1,1,0,0,0,충남,논산시,1,1,0,0,0,1,4,127.1062,36.2371,충남논산시,0,화물차이륜차,0,0,0,61,0,0
2019-01-11,0,4,1,3,0,1,0,경북,칠곡군,1,8,6,1,1,1,2,128.4029,35.9379,경북칠곡군,0,화물차승용차,0,0,0,21,0,0
2019-01-12,0,5,2,10,4,0,0,대구,달성군,1,8,6,1,1,0,6,128.4698,35.6937,대구달성군,2,승용차승합차,0,1,0,30,0,0
2019-01-12,0,5,1,1,0,0,0,경기,의정부시,1,5,0,0,0,0,9,127.0341,37.7291,경기의정부시,0,승용차건설기계,0,1,0,64,0,0
2019-01-12,1,5,1,1,0,0,0,경기,부천시,1,1,0,1,3,0,5,126.7786,37.4956,경기부천시,0,승용차자전거,0,1,0,65,0,0
2019-01-12,1,5,1,5,2,0,0,강원,원주시,1,9,5,0,0,0,3,127.9284,37.3581,강원원주시,1,승용차화물차,0,1,0,36,0,0
2019-01-12,1,5,1,1,0,0,0,경기,고양시,1,8,0,0,0,4,9,126.8508,37.6162,경기고양시,0,이륜차건설기계,0,1,0,40,0,0
2019-01-12,1,5,1,9,3,1,0,경기,광주시,1,5,0,0,0,3,2,127.3098,37.3736,경기광주시,1,건설기계승용차,0,1,0,9,0,0
2019-01-12,0,5,1,7,0,3,0,경기,화성시,1,9,5,0,0,0,6,126.7006,37.1499,경기화성시,1,승용차승합차,0,1,0,50,0,0
2019-01-13,0,6,1,15,4,3,0,경기,하남시,1,5,0,0,0,0,3,127.2398,37.488,경기하남시,2,승용차화물차,0,1,0,67,0,0
2019-01-13,1,6,1,1,0,0,0,경기,김포시,1,5,0,2,4,0,11,126.7572,37.6204,경기김포시,0,승용차특수차,0,1,0,47,0,0
2019-01-13,1,6,1,1,0,0,0,충남,서산시,1,11,0,1,2,7,1,126.5708,36.7731,충남서산시,0,자전거없음,0,1,0,69,0,0
2019-01-13,0,6,1,1,0,0,0,전남,진도군,1,1,0,0,0,9,1,126.2413,34.4846,전남진도군,0,농기계없음,0,1,0,71,0,0
2019-01-13,0,6,1,1,0,0,0,인천,중구,1,6,0,1,1,0,1,126.6274,37.4538,인천중구,0,승용차없음,0,1,0,72,0,0
2019-01-14,0,0,1,3,1,0,0,경기,시흥시,1,1,0,0,0,4,2,126.7873,37.4395,경기시흥시,0,이륜차승용차,0,0,0,73,0,0
2019-01-14,0,0,1,1,0,0,0,경북,문경시,1,6,0,1,1,0,1,128.1887,36.596,경북문경시,0,승용차없음,0,0,0,74,0,0
2019-01-14,0,0,1,3,1,0,0,충북,영동군,1,5,0,0,0,1,11,127.8375,36.2661,충북영동군,0,화물차특수차,0,0,0,75,0,0
2019-01-14,0,0,2,6,2,0,0,경북,김천시,1,5,0,0,0,1,3,128.1758,36.1503,경북김천시,1,화물차화물차,0,0,0,76,0,0
2019-01-14,1,0,1,1,0,0,0,경기,김포시,1,5,0,2,4,4,9,126.7348,37.626,경기김포시,0,이륜차건설기계,0,0,0,47,0,0
2019-01-14,1,0,1,1,0,0,0,대전,대덕구,1,1,6,1,2,1,5,127.3946,36.4385,대전대덕구,0,화물차자전거,0,0,0,77,0,0
2019-01-14,1,0,1,1,0,0,0,전남,순천시,1,12,0,0,0,1,1,127.4822,35.0025,전남순천시,0,화물차없음,0,0,0,27,0,0
2019-01-14,1,0,1,1,0,0,0,충남,논산시,1,8,0,1,1,0,4,127.0995,36.1334,충남논산시,0,승용차이륜차,0,0,0,61,0,0
2019-01-14,1,0,1,1,0,0,0,강원,횡성군,1,6,0,0,0,0,1,128.1811,37.4143,강원횡성군,0,승용차없음,0,0,0,31,0,0
2019-01-14,1,0,1,1,0,0,0,경북,영덕군,1,11,0,0,0,8,1,129.3002,36.4063,경북영덕군,0,기타없음,0,0,0,54,0,0
2019-01-14,0,0,1,1,0,0,0,충남,서천군,1,11,0,2,4,9,1,126.7928,36.1733,충남서천군,0,농기계없음,0,0,0,10,0,0
2019-01-15,0,1,2,2,0,0,0,경기,평택시,1,6,0,0,0,1,1,126.9861,37.0339,경기평택시,0,화물차없음,0,0,0,14,0,0
2019-01-15,0,1,1,1,0,0,0,대전,동구,1,6,0,0,0,0,1,127.4405,36.3285,대전동구,0,승용차없음,0,0,0,80,0,0
2019-01-15,1,1,1,1,0,0,0,경기,광명시,1,5,0,0,0,3,4,126.8618,37.4772,경기광명시,0,건설기계이륜차,0,0,0,81,0,0
2019-01-15,1,1,1,1,0,0,0,강원,홍천군,1,6,0,0,0,0,1,127.7849,37.6325,강원홍천군,0,승용차없음,0,0,0,82,0,0
2019-01-15,0,1,1,5,0,2,0,경기,화성시,1,8,5,0,0,1,2,126.993,37.1689,경기화성시,0,화물차승용차,0,0,0,50,0,0
2019-01-15,0,1,1,1,0,0,0,충남,천안시,1,6,0,0,0,0,1,127.1854,36.8572,충남천안시,0,승용차없음,0,0,0,63,0,0
2019-01-16,0,2,1,1,0,0,0,서울,성동구,1,1,0,1,2,0,1,127.0244,37.5446,서울성동구,0,승용차없음,0,0,0,84,0,0
2019-01-16,0,2,1,5,0,2,0,부산,기장군,1,5,0,0,0,0,2,129.1408,35.3581,부산기장군,0,승용차승용차,0,0,0,85,0,0
2019-01-16,1,2,1,3,0,1,0,경기,김포시,1,5,0,0,0,1,3,126.7874,37.5916,경기김포시,0,화물차화물차,0,0,0,47,0,0
2019-01-16,1,2,1,1,0,0,0,전남,영암군,1,5,0,0,0,1,3,126.6101,34.8622,전남영암군,0,화물차화물차,0,0,0,16,0,0
2019-01-16,1,2,1,1,0,0,0,경기,고양시,1,1,0,0,0,4,1,126.7539,37.6749,경기고양시,0,이륜차없음,0,0,0,40,0,0
2019-01-16,1,2,1,1,0,0,0,전남,진도군,1,1,0,0,0,1,1,126.1033,34.4298,전남진도군,0,화물차없음,0,0,0,71,0,0
2019-01-16,0,2,1,1,0,0,0,경남,고성군,1,9,0,0,0,1,3,128.2829,34.9335,경남고성군,0,화물차화물차,0,0,0,87,0,0
2019-01-16,0,2,1,8,0,3,1,전남,화순군,1,11,2,0,0,0,1,127.1325,34.9981,전남화순군,1,승용차없음,0,0,0,88,0,0
2019-01-17,1,3,1,3,1,0,0,경기,여주시,1,9,5,0,0,0,2,127.5281,37.2192,경기여주시,0,승용차승용차,0,0,0,22,0,0
2019-01-17,1,3,1,1,0,0,0,인천,강화군,1,5,0,0,0,1,5,126.4246,37.8062,인천강화군,0,화물차자전거,0,0,0,92,0,0
2019-01-17,1,3,1,9,2,2,0,서울,동작구,1,5,2,1,1,0,2,126.978,37.4818,서울동작구,1,승용차승용차,0,0,0,93,0,0
2019-01-18,1,4,1,1,0,0,0,경기,이천시,1,1,5,0,0,7,2,127.5061,37.2413,경기이천시,0,자전거승용차,0,0,0,41,0,0
2019-01-18,1,4,1,5,0,2,0,서울,도봉구,1,1,0,0,0,4,1,127.0349,37.638,서울도봉구,0,이륜차없음,0,0,0,98,0,0
2019-01-18,1,4,1,1,0,0,0,충북,충주시,1,1,6,1,1,1,7,127.9268,36.9603,충북충주시,0,화물차원동기장치자전거,0,0,0,6,0,0
2019-01-18,1,4,1,1,0,0,0,충남,논산시,1,8,3,1,2,4,2,127.0811,36.2093,충남논산시,0,이륜차승용차,0,0,0,61,0,0
2019-01-19,1,5,1,1,0,0,0,경북,경주시,1,1,5,0,0,4,2,129.2321,35.8842,경북경주시,0,이륜차승용차,0,1,0,100,0,0
2019-01-19,1,5,1,1,0,0,0,서울,구로구,1,1,3,0,0,4,2,126.8929,37.4974,서울구로구,0,이륜차승용차,0,1,0,79,0,0
2019-01-19,1,5,1,1,0,0,0,전북,전주시,1,1,6,1,1,3,5,127.1374,35.8229,전북전주시,0,건설기계자전거,0,1,0,11,0,0
2019-01-19,0,5,1,1,0,0,0,경기,평택시,1,9,0,1,1,0,4,127.0887,37.0105,경기평택시,0,승용차이륜차,0,1,0,14,0,0
2019-01-20,0,6,1,5,2,0,0,경기,광주시,1,5,0,0,0,0,11,127.2486,37.4009,경기광주시,1,승용차특수차,0,1,0,9,0,0
2019-01-20,1,6,1,1,0,0,0,경기,연천군,1,6,0,1,1,0,1,127.0574,38.0292,경기연천군,0,승용차없음,0,1,0,106,0,0
2019-01-20,1,6,1,11,1,4,0,인천,중구,1,5,0,0,0,0,6,126.4944,37.493,인천중구,1,승용차승합차,0,1,0,72,0,0
2019-01-20,1,6,1,1,0,0,0,제주,서귀포시,1,8,6,1,1,4,3,126.2528,33.2283,제주서귀포시,0,이륜차화물차,0,1,0,62,0,0
2019-01-20,1,6,1,3,0,1,0,충남,당진시,1,5,0,0,0,1,3,126.7824,36.9442,충남당진시,0,화물차화물차,0,1,0,46,0,0
2019-01-20,0,6,1,15,1,6,0,경남,함양군,1,1,0,0,0,0,3,127.7375,35.5341,경남함양군,1,승용차화물차,0,1,0,108,0,0
2019-01-21,0,0,1,1,0,0,0,서울,구로구,1,8,6,1,1,0,4,126.8563,37.4881,서울구로구,0,승용차이륜차,0,0,0,79,0,0
2019-01-21,1,0,1,1,0,0,0,충남,서천군,1,8,0,1,1,2,7,126.6956,36.0758,충남서천군,0,승합차원동기장치자전거,0,0,0,10,0,0
2019-01-21,1,0,1,1,0,0,0,충북,음성군,1,1,0,0,0,1,4,127.6049,37.0375,충북음성군,0,화물차이륜차,0,0,0,110,0,0
2019-01-22,0,1,1,1,0,0,0,경기,하남시,1,6,2,0,0,0,1,127.1892,37.5514,경기하남시,0,승용차없음,0,0,0,67,0,0
2019-01-22,0,1,1,1,0,0,0,경기,화성시,1,1,0,0,0,4,1,127.0369,37.2403,경기화성시,0,이륜차없음,0,0,0,50,0,0
2019-01-22,0,1,1,3,1,0,0,강원,춘천시,1,6,0,0,0,0,1,127.6151,37.8309,강원춘천시,0,승용차없음,0,0,0,111,0,0
2019-01-22,1,1,1,3,0,1,0,전남,나주시,1,9,5,0,0,0,9,126.7481,34.9442,전남나주시,0,승용차건설기계,0,0,0,33,0,0
2019-01-22,1,1,1,3,1,0,0,서울,강남구,1,1,0,0,0,4,3,127.0373,37.5081,서울강남구,0,이륜차화물차,0,0,0,89,0,0
2019-01-22,1,1,1,1,0,0,0,강원,영월군,1,6,0,0,0,1,1,128.472,37.1862,강원영월군,0,화물차없음,0,0,0,114,0,0
2019-01-22,1,1,1,3,1,0,0,강원,양구군,1,6,0,1,1,0,1,127.9967,38.0909,강원양구군,0,승용차없음,0,0,0,115,0,0
2019-01-23,0,2,1,1,0,0,0,경기,수원시,1,1,0,1,2,0,4,126.9698,37.2905,경기수원시,0,승용차이륜차,0,0,0,99,0,0
2019-01-23,1,2,1,1,0,0,0,경남,함안군,1,12,0,0,0,8,1,128.5378,35.3709,경남함안군,0,기타없음,0,0,0,117,0,0
2019-01-23,1,2,1,1,0,0,0,전북,완주군,1,1,3,1,2,7,1,127.1986,36.036,전북완주군,0,자전거없음,0,0,0,28,0,0
2019-01-23,1,2,1,1,0,0,0,강원,원주시,1,8,7,0,0,1,4,127.9118,37.3613,강원원주시,0,화물차이륜차,0,0,0,36,0,0
2019-01-23,0,2,1,1,0,0,0,경북,안동시,1,8,5,0,0,1,4,128.8217,36.7073,경북안동시,0,화물차이륜차,0,0,0,66,0,0
2019-01-24,1,3,1,1,0,0,0,경북,상주시,1,8,0,1,1,3,4,128.1867,36.3747,경북상주시,0,건설기계이륜차,0,0,0,58,0,0
2019-01-24,1,3,1,1,0,0,0,전남,해남군,1,6,0,0,0,1,1,126.5629,34.4182,전남해남군,0,화물차없음,0,0,0,119,0,0
2019-01-24,1,3,1,1,0,0,0,부산,사상구,1,8,6,1,2,4,2,128.9908,35.1845,부산사상구,0,이륜차승용차,0,0,0,120,0,0
2019-01-24,1,3,1,1,0,0,0,전남,강진군,1,8,0,0,0,3,7,126.7695,34.6281,전남강진군,0,건설기계원동기장치자전거,0,0,0,121,0,0
2019-01-24,1,3,1,1,0,0,0,전남,나주시,1,1,0,1,1,1,1,126.6806,35.0896,전남나주시,0,화물차없음,0,0,0,33,0,0
2019-01-24,0,3,3,13,4,1,0,강원,삼척시,1,8,3,0,0,1,2,129.189,37.4246,강원삼척시,2,화물차승용차,0,0,0,78,0,0
2019-01-25,0,4,1,7,1,2,0,대구,달성군,1,5,0,0,0,0,3,128.4411,35.6506,대구달성군,1,승용차화물차,0,0,0,30,0,0
2019-01-25,0,4,1,1,0,0,0,경북,영천시,1,6,0,0,0,0,1,128.9263,35.9033,경북영천시,0,승용차없음,0,0,0,5,0,0
2019-01-25,0,4,1,3,1,0,0,서울,도봉구,1,1,0,0,0,4,1,127.0495,37.6875,서울도봉구,0,이륜차없음,0,0,0,98,0,0
2019-01-25,1,4,1,3,1,0,0,강원,인제군,1,5,0,0,0,1,9,128.1841,38.0749,강원인제군,0,화물차건설기계,0,0,0,124,0,0
2019-01-25,1,4,1,3,0,1,0,경남,진주시,1,1,0,0,0,1,2,128.0883,35.1916,경남진주시,0,화물차승용차,0,0,0,42,0,0
2019-01-25,1,4,1,3,0,1,0,경기,이천시,1,9,5,0,0,6,2,127.4826,37.1545,경기이천시,0,원동기장치자전거승용차,0,0,0,41,0,0
2019-01-25,0,4,1,5,2,0,0,전북,익산시,1,9,2,0,0,0,2,127.0852,36.0561,전북익산시,1,승용차승용차,0,0,0,125,0,0
2019-01-26,0,5,2,4,1,0,0,강원,원주시,1,1,0,0,0,0,2,127.9119,37.3615,강원원주시,1,승용차승용차,0,1,0,36,0,0
2019-01-26,1,5,1,1,0,0,0,부산,해운대구,1,1,0,0,0,4,1,129.1309,35.2181,부산해운대구,0,이륜차없음,0,1,0,1,0,0
2019-01-26,1,5,1,1,0,0,0,경북,영양군,1,1,0,0,0,0,1,129.0377,36.6759,경북영양군,0,승용차없음,0,1,0,128,0,0
2019-01-26,1,5,1,3,1,0,0,경기,고양시,1,8,6,1,1,0,3,126.8871,37.6706,경기고양시,0,승용차화물차,0,1,0,40,0,0
2019-01-27,0,6,1,1,0,0,0,경기,안산시,1,5,0,0,0,0,3,126.8973,37.3013,경기안산시,0,승용차화물차,0,0,0,2,0,0
2019-01-28,1,0,1,3,1,0,0,충북,영동군,1,6,0,0,0,1,1,127.7304,36.2035,충북영동군,0,화물차없음,0,0,0,75,0,0
2019-01-28,1,0,1,1,0,0,0,충남,논산시,1,6,0,0,0,1,1,127.098,36.2089,충남논산시,0,화물차없음,0,0,0,61,0,0
2019-01-28,1,0,1,3,0,1,0,전북,익산시,1,6,0,0,0,1,1,127.107,36.0269,전북익산시,0,화물차없음,0,0,0,125,0,0
2019-01-28,1,0,1,1,0,0,0,전남,광양시,1,8,7,1,1,3,11,127.7611,34.9474,전남광양시,0,건설기계특수차,0,0,0,130,0,0
2019-01-28,1,0,1,1,0,0,0,인천,미추홀구,1,1,0,0,0,0,1,126.6689,37.4543,인천미추홀구,0,승용차없음,0,0,0,123,0,0
2019-01-28,1,0,1,3,1,0,0,경북,의성군,1,5,0,0,0,1,3,128.3024,36.3445,경북의성군,0,화물차화물차,0,0,0,105,0,0
2019-01-28,1,0,1,3,0,1,0,경북,안동시,1,11,0,0,0,1,1,128.4659,36.5335,경북안동시,0,화물차없음,0,0,0,66,0,0
2019-01-28,1,0,1,1,0,0,0,전북,순창군,1,1,0,1,1,9,1,127.1646,35.4104,전북순창군,0,농기계없음,0,0,0,131,0,0
2019-01-28,0,0,1,1,0,0,0,전남,신안군,1,1,0,1,2,4,3,125.9297,34.7599,전남신안군,0,이륜차화물차,0,0,0,132,0,0
2019-01-29,1,1,1,1,0,0,0,전남,장흥군,1,11,0,0,0,8,1,126.9563,34.5607,전남장흥군,0,기타없음,0,0,0,56,0,0
2019-01-29,1,1,1,1,0,0,0,경남,거제시,1,8,0,1,1,0,4,128.6417,34.8648,경남거제시,0,승용차이륜차,0,0,0,15,0,0
2019-01-29,1,1,1,3,1,0,0,경남,김해시,1,8,6,1,1,1,3,128.835,35.2135,경남김해시,0,화물차화물차,0,0,0,13,0,0
2019-01-29,1,1,1,1,0,0,0,경남,합천군,1,12,0,1,1,8,1,128.186,35.4657,경남합천군,0,기타없음,0,0,0,133,0,0
2019-01-29,0,1,1,1,0,0,0,전북,익산시,1,6,0,0,0,1,1,126.8864,36.1083,전북익산시,0,화물차없음,0,0,0,125,0,0
2019-01-30,1,2,1,1,0,0,0,충남,보령시,1,8,0,1,1,0,5,126.5969,36.3502,충남보령시,0,승용차자전거,0,0,0,136,0,0
2019-01-30,1,2,1,1,0,0,0,충북,증평군,1,8,0,1,1,0,5,127.6032,36.767,충북증평군,0,승용차자전거,0,0,0,138,0,0
2019-01-30,1,2,1,1,0,0,0,충남,논산시,1,8,0,1,2,1,5,127.1507,36.2324,충남논산시,0,화물차자전거,0,0,0,61,0,0
2019-01-30,1,2,1,1,0,0,0,경남,김해시,1,6,0,0,0,0,1,128.7429,35.2719,경남김해시,0,승용차없음,0,0,0,13,0,0
2019-01-30,1,2,1,1,0,0,0,전북,김제시,1,6,0,0,0,0,1,126.8681,35.9046,전북김제시,0,승용차없음,0,0,0,34,0,0
2019-01-30,1,2,1,1,0,0,0,경북,예천군,1,8,0,1,1,0,4,128.4409,36.6499,경북예천군,0,승용차이륜차,0,0,0,55,0,0
2019-01-31,0,3,1,3,0,1,0,충북,옥천군,1,5,0,0,0,0,3,127.5952,36.2983,충북옥천군,0,승용차화물차,0,0,0,142,0,0
2019-01-31,1,3,1,1,0,0,0,충남,부여군,1,6,0,0,0,0,1,126.8414,36.3193,충남부여군,0,승용차없음,0,0,0,129,0,0
2019-01-31,1,3,1,3,1,0,0,충남,서산시,1,9,0,0,0,2,3,126.3887,36.6741,충남서산시,0,승합차화물차,0,0,0,69,0,0
2019-01-31,1,3,2,2,0,0,0,경기,양주시,1,8,6,1,1,3,12,126.9745,37.8896,경기양주시,0,건설기계기타,0,0,0,59,0,0
2019-01-31,0,3,1,1,0,0,0,경기,연천군,1,8,5,0,0,1,4,127.0612,38.0439,경기연천군,0,화물차이륜차,0,0,0,106,0,0
2019-01-31,0,3,1,1,0,0,0,경기,부천시,1,8,6,1,1,0,4,126.8112,37.5061,경기부천시,0,승용차이륜차,0,0,0,65,0,0
2019-01-31,0,3,1,1,0,0,0,충북,제천시,1,6,0,1,2,1,1,128.1462,36.8995,충북제천시,0,화물차없음,0,0,0,103,0,0
2019-02-01,1,4,1,1,0,0,0,경북,구미시,1,8,0,0,0,0,5,128.4354,36.0957,경북구미시,0,승용차자전거,0,0,0,144,0,0
2019-02-01,1,4,1,1,0,0,0,경북,김천시,1,12,0,1,2,4,1,128.1251,36.1315,경북김천시,0,이륜차없음,0,0,0,76,0,0
2019-02-02,0,5,1,3,1,0,0,경기,성남시,1,9,7,1,1,0,2,127.1351,37.3731,경기성남시,0,승용차승용차,0,1,0,95,0,0
2019-02-02,1,5,1,1,0,0,0,전남,장성군,1,1,7,1,1,1,4,126.6651,35.2592,전남장성군,0,화물차이륜차,0,1,0,146,0,0
2019-02-02,0,5,1,1,0,0,0,전남,곡성군,1,11,0,1,2,4,1,127.3404,35.2955,전남곡성군,0,이륜차없음,0,1,0,147,0,0
2019-02-02,0,5,1,1,0,0,0,대전,유성구,1,12,0,0,0,4,1,127.3027,36.3465,대전유성구,0,이륜차없음,0,1,0,148,0,0
2019-02-03,0,6,1,7,3,0,0,경북,봉화군,1,1,5,0,0,0,6,128.7597,36.8664,경북봉화군,1,승용차승합차,0,1,0,149,0,0
2019-02-03,1,6,1,5,2,0,0,서울,영등포구,1,1,6,0,0,0,2,126.898,37.5052,서울영등포구,1,승용차승용차,0,1,0,150,0,0
2019-02-03,1,6,1,9,0,4,0,경기,안양시,1,9,5,0,0,0,2,126.9272,37.4025,경기안양시,1,승용차승용차,0,1,0,151,0,0
2019-02-04,1,0,1,1,0,0,0,대전,동구,1,1,0,1,2,7,6,127.4574,36.3074,대전동구,0,자전거승합차,0,1,0,80,0,0
2019-02-04,0,0,2,6,2,0,0,전북,임실군,1,9,5,0,0,0,2,127.3435,35.5586,전북임실군,1,승용차승용차,0,1,0,152,0,0
2019-02-06,0,2,1,1,0,0,0,부산,사하구,1,12,0,0,0,4,1,128.9795,35.0636,부산사하구,0,이륜차없음,0,1,0,25,0,0
2019-02-06,0,2,1,1,0,0,0,충남,천안시,1,8,6,1,1,4,2,127.1625,36.8213,충남천안시,0,이륜차승용차,0,1,0,63,0,0
2019-02-06,1,2,1,1,0,0,0,경북,구미시,1,6,0,1,2,0,1,128.3664,36.1069,경북구미시,0,승용차없음,0,1,0,144,0,0
