index,발생년월일,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,법규위반,도로형태_대분류,도로형태,당사자종별_1당_대분류,당사자종별_2당_대분류,경도,위도,발생지,사고피해정도,사고차량타입,도시여부,주말/공휴일,인구수,발생지번호,보행자의위치,무단횡단여부
190,2019-01-23,0,2,1,1,0,0,0,서울,종로구,0,1,0,0,0,1,0,126.9987,37.5899,서울종로구,0,1,0,0,0,116,1,1
192,2019-01-23,1,2,1,1,0,0,0,경기,성남시,0,0,3,0,0,0,0,127.1268,37.4333,경기성남시,0,0,0,0,0,95,1,1
195,2019-01-23,1,2,1,1,0,0,0,경남,양산시,0,0,1,0,0,0,0,129.0257,35.3319,경남양산시,0,0,0,0,0,49,1,0
198,2019-01-24,0,3,1,1,0,0,0,서울,성동구,0,0,0,0,0,0,0,127.0436,37.5538,서울성동구,0,0,0,0,0,84,1,1
199,2019-01-24,0,3,1,1,0,0,0,경기,성남시,0,0,0,1,1,0,0,127.139,37.4431,경기성남시,0,0,0,0,0,95,1,1
200,2019-01-24,1,3,1,1,0,0,0,부산,북구,0,0,0,0,0,0,0,129.0083,35.2109,부산북구,0,0,0,0,0,118,1,1
206,2019-01-24,0,3,1,1,0,0,0,전남,보성군,0,3,0,0,0,3,0,127.1556,34.778,전남보성군,0,3,0,0,0,122,0,0
208,2019-01-24,0,3,1,1,0,0,0,대전,대덕구,0,0,0,0,0,0,0,127.4214,36.3773,대전대덕구,0,0,0,0,0,77,1,1
209,2019-01-24,0,3,1,1,0,0,0,인천,미추홀구,0,0,0,2,4,0,0,126.682,37.4639,인천미추홀구,0,0,0,0,0,123,1,1
213,2019-01-25,0,4,1,1,0,0,0,인천,남동구,0,0,0,0,0,1,0,126.7241,37.4023,인천남동구,0,1,0,0,0,29,1,1
217,2019-01-25,0,4,1,1,0,0,0,경북,안동시,0,2,2,0,0,0,0,128.7267,36.5601,경북안동시,0,0,0,0,0,66,1,1
218,2019-01-25,0,4,1,1,0,0,0,경남,함안군,0,1,0,0,0,0,0,128.4245,35.2803,경남함안군,0,0,0,0,0,117,1,1
219,2019-01-25,0,4,1,3,1,0,0,제주,서귀포시,0,0,0,1,1,0,0,126.8736,33.3767,제주서귀포시,0,0,0,0,0,62,1,1
220,2019-01-25,0,4,1,1,0,0,0,서울,도봉구,0,1,0,0,0,0,0,127.0349,37.6512,서울도봉구,0,0,0,0,0,98,1,1
222,2019-01-26,0,5,1,1,0,0,0,경기,군포시,0,1,0,0,0,1,0,126.9341,37.3594,경기군포시,0,1,0,1,0,126,1,1
225,2019-01-26,1,5,1,1,0,0,0,전남,영광군,0,0,0,1,2,2,0,126.5019,35.276,전남영광군,0,2,0,1,0,127,1,1
229,2019-01-27,0,6,1,1,0,0,0,경기,화성시,0,2,0,0,0,0,0,126.8018,37.2287,경기화성시,0,0,0,0,0,50,1,1
230,2019-01-27,1,6,1,1,0,0,0,대전,서구,0,0,0,0,0,0,0,127.3653,36.3581,대전서구,0,0,0,0,0,4,1,1
232,2019-01-28,1,0,1,1,0,0,0,충남,부여군,0,1,2,0,0,0,0,126.9829,36.2521,충남부여군,0,0,0,0,0,129,1,1
233,2019-01-28,1,0,1,1,0,0,0,전남,진도군,0,0,2,1,2,0,0,126.3092,34.4354,전남진도군,0,0,0,0,0,71,1,1
241,2019-01-28,1,0,1,1,0,0,0,경남,창원시(통합),0,4,0,0,0,3,0,128.571,35.2253,경남창원시(통합),0,3,0,0,0,86,0,0
242,2019-01-28,0,0,1,1,0,0,0,경남,양산시,0,0,0,0,0,0,0,129.1196,35.3271,경남양산시,0,0,0,0,0,49,1,1
243,2019-01-28,0,0,1,1,0,0,0,경북,영주시,0,0,0,1,1,0,0,128.6199,36.8198,경북영주시,0,0,0,0,0,113,1,1
244,2019-01-28,0,0,1,1,0,0,0,경기,의정부시,0,0,0,0,0,0,0,127.0131,37.7374,경기의정부시,0,0,0,0,0,64,1,1
246,2019-01-28,0,0,1,1,0,0,0,충남,홍성군,0,2,2,1,1,0,0,126.6537,36.5733,충남홍성군,0,0,0,0,0,38,1,1
247,2019-01-29,0,1,1,1,0,0,0,서울,중구,0,1,0,0,0,1,0,127.0007,37.5667,서울중구,0,1,0,0,0,8,1,1
248,2019-01-29,1,1,1,1,0,0,0,제주,제주시,0,0,0,1,3,0,0,126.4357,33.4636,제주제주시,0,0,0,0,0,90,1,1
249,2019-01-29,1,1,1,1,0,0,0,부산,사하구,0,1,1,2,4,2,0,128.9969,35.0909,부산사하구,0,2,0,0,0,25,1,0
251,2019-01-29,1,1,1,3,1,0,0,전북,김제시,0,1,0,0,0,0,0,126.8827,35.8054,전북김제시,0,0,0,0,0,34,1,1
252,2019-01-29,1,1,1,1,0,0,0,부산,사상구,0,0,3,1,3,0,0,128.9897,35.1866,부산사상구,0,0,0,0,0,120,1,1
257,2019-01-30,0,2,1,1,0,0,0,서울,용산구,0,0,0,0,0,0,0,126.9716,37.5334,서울용산구,0,0,0,0,0,134,1,1
258,2019-01-30,1,2,1,1,0,0,0,광주,광산구,0,0,0,1,3,0,0,126.8043,35.1753,광주광산구,0,0,0,0,0,135,1,1
260,2019-01-30,1,2,1,1,0,0,0,광주,북구,0,0,1,1,3,1,0,126.921,35.1868,광주북구,0,1,0,0,0,137,1,0
263,2019-01-30,1,2,1,1,0,0,0,서울,은평구,0,0,1,1,3,1,0,126.9196,37.6174,서울은평구,0,1,0,0,0,139,1,0
265,2019-01-30,1,2,1,1,0,0,0,대구,북구,0,0,0,1,3,2,0,128.5632,35.9413,대구북구,0,2,0,0,0,112,1,1
266,2019-01-30,1,2,1,1,0,0,0,울산,울주군,0,0,0,0,0,1,0,129.0462,35.6165,울산울주군,0,1,0,0,0,17,1,1
267,2019-01-30,1,2,1,1,0,0,0,경북,경산시,0,1,0,1,1,0,0,128.7354,35.8241,경북경산시,0,0,0,0,0,52,1,1
270,2019-01-30,0,2,1,1,0,0,0,서울,양천구,0,2,0,0,0,1,0,126.8345,37.5304,서울양천구,0,1,0,0,0,140,1,1
271,2019-01-30,0,2,1,1,0,0,0,전남,영암군,0,3,0,0,0,1,0,126.6464,34.8264,전남영암군,0,1,0,0,0,16,0,0
272,2019-01-30,0,2,1,3,1,0,0,전남,완도군,0,3,0,0,0,0,0,126.8814,34.393,전남완도군,0,0,0,0,0,141,0,0
273,2019-01-30,0,2,1,1,0,0,0,경북,경주시,0,1,0,0,0,0,0,129.2229,35.8663,경북경주시,0,0,0,0,0,100,1,1
274,2019-01-31,0,3,1,5,1,1,0,서울,구로구,0,0,0,1,3,0,0,126.8243,37.4892,서울구로구,0,0,0,0,0,79,1,1
276,2019-01-31,0,3,1,1,0,0,0,경기,오산시,0,0,0,1,2,0,0,127.0735,37.143,경기오산시,0,0,0,0,0,143,1,1
277,2019-01-31,1,3,1,1,0,0,0,경기,평택시,0,0,1,1,3,0,0,127.0589,36.9629,경기평택시,0,0,0,0,0,14,1,0
278,2019-01-31,1,3,1,1,0,0,0,제주,서귀포시,0,0,0,0,0,0,0,126.6508,33.2725,제주서귀포시,0,0,0,0,0,62,1,1
282,2019-01-31,0,3,1,1,0,0,0,경기,군포시,0,0,0,0,0,4,0,126.9471,37.3566,경기군포시,0,4,0,0,0,126,1,1
285,2019-01-31,0,3,1,1,0,0,0,전북,정읍시,0,1,0,0,0,0,0,126.8544,35.5673,전북정읍시,0,0,0,0,0,12,1,1
287,2019-01-31,0,3,1,1,0,0,0,경북,김천시,0,2,0,0,0,0,0,128.1104,36.126,경북김천시,0,0,0,0,0,76,1,1
290,2019-02-01,1,4,1,1,0,0,0,전북,순창군,0,2,0,0,0,1,0,127.2507,35.4549,전북순창군,0,1,0,0,0,131,1,1
291,2019-02-01,0,4,1,1,0,0,0,전북,완주군,0,2,2,0,0,0,0,127.2052,35.774,전북완주군,0,0,0,0,0,28,1,1
293,2019-02-02,0,5,1,5,1,1,0,경기,고양시,0,1,3,1,1,0,0,126.7663,37.6626,경기고양시,0,0,0,1,0,40,1,1
294,2019-02-02,0,5,1,1,0,0,0,대구,남구,0,0,1,1,3,0,0,128.5984,35.8457,대구남구,0,0,0,1,0,145,1,0
295,2019-02-02,1,5,1,1,0,0,0,경기,의정부시,0,0,0,0,0,0,0,127.0418,37.733,경기의정부시,0,0,0,1,0,64,1,1
296,2019-02-02,1,5,1,1,0,0,0,전남,화순군,0,0,0,1,2,1,0,126.9842,35.0622,전남화순군,0,1,0,1,0,88,1,1
303,2019-02-03,0,6,1,1,0,0,0,충북,증평군,0,0,3,1,1,0,0,127.5772,36.7922,충북증평군,0,0,0,1,0,138,1,1
304,2019-02-04,1,0,1,1,0,0,0,대전,동구,0,1,0,1,2,0,0,127.4364,36.3214,대전동구,0,0,0,1,0,80,1,1
307,2019-02-04,0,0,1,1,0,0,0,전남,목포시,0,1,0,0,0,0,0,126.4437,34.7954,전남목포시,0,0,0,1,0,153,1,1
308,2019-02-05,0,1,1,1,0,0,0,강원,원주시,0,0,0,0,0,0,0,127.9361,37.356,강원원주시,0,0,0,1,0,36,1,1
311,2019-02-06,1,2,1,1,0,0,0,경북,청도군,0,1,0,0,0,1,0,128.8381,35.6408,경북청도군,0,1,0,1,0,3,1,1
315,2019-02-06,1,2,1,1,0,0,0,경기,고양시,0,0,3,1,3,2,0,126.8129,37.6813,경기고양시,0,2,0,1,0,40,1,1
316,2019-02-06,0,2,1,1,0,0,0,전북,장수군,0,3,2,0,0,0,0,127.5199,35.6876,전북장수군,0,0,0,1,0,155,0,0
317,2019-02-06,0,2,1,1,0,0,0,서울,송파구,0,0,3,2,4,6,0,127.1174,37.494,서울송파구,0,6,0,1,0,156,1,1
319,2019-02-07,0,3,1,1,0,0,0,서울,구로구,0,0,2,0,0,0,0,126.8774,37.4861,서울구로구,0,0,0,0,0,79,1,1
320,2019-02-07,0,3,1,1,0,0,0,경기,남양주시,0,0,2,1,1,0,0,127.1188,37.6451,경기남양주시,0,0,0,0,0,70,1,1
323,2019-02-07,1,3,1,1,0,0,0,충북,청주시,0,1,1,1,3,1,0,127.4879,36.6734,충북청주시,0,1,0,0,0,83,1,0
325,2019-02-07,0,3,1,1,0,0,0,전남,함평군,0,3,0,0,0,0,0,126.49,35.1517,전남함평군,0,0,0,0,0,157,0,0
327,2019-02-08,0,4,1,1,0,0,0,경기,여주시,0,2,0,0,0,1,0,127.5459,37.2961,경기여주시,0,1,0,0,0,22,1,1
329,2019-02-08,1,4,1,1,0,0,0,서울,마포구,0,0,0,1,1,0,0,126.9624,37.5514,서울마포구,0,0,0,0,0,159,1,1
332,2019-02-08,1,4,1,1,0,0,0,경북,구미시,0,1,0,0,0,2,0,128.4215,36.1379,경북구미시,0,2,0,0,0,144,1,1
338,2019-02-10,1,6,1,5,2,0,0,대전,중구,0,4,5,0,0,0,0,127.4308,36.3204,대전중구,1,0,0,1,0,39,0,0
339,2019-02-11,0,0,1,5,0,2,0,대전,유성구,0,0,1,1,3,0,0,127.3352,36.3556,대전유성구,0,0,0,0,0,148,1,0
342,2019-02-11,0,0,1,1,0,0,0,서울,종로구,0,2,0,0,0,0,0,126.9634,37.5971,서울종로구,0,0,0,0,0,116,1,1
343,2019-02-11,0,0,1,1,0,0,0,충남,금산군,0,3,0,0,0,1,0,127.4797,36.13,충남금산군,0,1,0,0,0,68,0,0
346,2019-02-12,1,1,1,1,0,0,0,제주,제주시,0,1,0,2,4,0,0,126.3294,33.4622,제주제주시,0,0,0,0,0,90,1,1
348,2019-02-12,0,1,1,1,0,0,0,전남,구례군,0,0,0,0,0,0,0,127.4476,35.2409,전남구례군,0,0,0,0,0,161,1,1
352,2019-02-13,0,2,1,1,0,0,0,서울,강남구,0,2,2,0,0,0,0,127.0395,37.5017,서울강남구,0,0,0,0,0,89,1,1
357,2019-02-13,1,2,1,1,0,0,0,경남,창원시(통합),0,1,0,1,2,0,0,128.6737,35.1564,경남창원시(통합),0,0,0,0,0,86,1,1
362,2019-02-13,0,2,1,1,0,0,0,경북,포항시,0,0,0,0,0,0,0,129.392,36.0759,경북포항시,0,0,0,0,0,160,1,1
363,2019-02-13,0,2,1,1,0,0,0,광주,동구,0,2,0,0,0,1,0,126.9144,35.1545,광주동구,0,1,0,0,0,162,1,1
364,2019-02-13,0,2,1,1,0,0,0,충북,제천시,0,0,0,0,0,2,0,128.2055,37.1377,충북제천시,0,2,0,0,0,103,1,1
365,2019-02-14,0,3,1,1,0,0,0,경기,오산시,0,1,2,0,0,0,0,127.0737,37.1523,경기오산시,0,0,0,0,0,143,1,1
368,2019-02-14,0,3,1,1,0,0,0,경기,이천시,0,0,3,1,2,2,0,127.6159,37.1153,경기이천시,0,2,0,0,0,41,1,1
369,2019-02-14,0,3,1,1,0,0,0,경기,양평군,0,1,2,0,0,0,0,127.5362,37.4911,경기양평군,0,0,0,0,0,48,1,1
370,2019-02-14,0,3,1,1,0,0,0,부산,부산진구,0,1,0,0,0,0,0,129.0434,35.1558,부산부산진구,0,0,0,0,0,163,1,1
372,2019-02-14,0,3,1,1,0,0,0,경기,성남시,0,1,0,1,1,2,0,127.1019,37.3694,경기성남시,0,2,0,0,0,95,1,1
373,2019-02-15,0,4,1,1,0,0,0,대구,서구,0,0,0,0,0,0,0,128.5688,35.8613,대구서구,0,0,0,0,0,107,1,1
374,2019-02-15,1,4,1,1,0,0,0,경북,김천시,0,2,0,1,2,2,0,128.1317,36.1186,경북김천시,0,2,0,0,0,76,1,1
376,2019-02-15,1,4,1,3,0,1,0,경기,양주시,0,1,0,0,0,1,0,127.0594,37.7669,경기양주시,0,1,0,0,0,59,1,1
379,2019-02-15,1,4,1,1,0,0,0,대구,서구,0,1,0,0,0,0,0,128.5699,35.8642,대구서구,0,0,0,0,0,107,1,1
381,2019-02-15,1,4,1,1,0,0,0,경기,구리시,0,0,0,1,3,0,0,127.1378,37.6109,경기구리시,0,0,0,0,0,165,1,1
382,2019-02-15,1,4,1,1,0,0,0,전북,전주시,0,1,0,0,0,0,0,127.1347,35.7916,전북전주시,0,0,0,0,0,11,1,1
383,2019-02-15,0,4,1,1,0,0,0,전북,군산시,0,0,0,0,0,0,0,126.7068,35.9737,전북군산시,0,0,0,0,0,166,1,1
384,2019-02-15,0,4,1,1,0,0,0,서울,성북구,0,0,1,0,0,0,0,127.0134,37.6017,서울성북구,0,0,0,0,0,167,1,0
385,2019-02-16,0,5,1,1,0,0,0,경기,성남시,0,0,0,2,4,0,0,127.1287,37.4122,경기성남시,0,0,0,1,0,95,1,1
387,2019-02-16,1,5,1,1,0,0,0,전남,목포시,0,1,0,1,3,0,0,126.3814,34.7993,전남목포시,0,0,0,1,0,153,1,1
388,2019-02-16,1,5,1,1,0,0,0,제주,제주시,0,1,0,0,0,1,0,126.6009,33.4869,제주제주시,0,1,0,1,0,90,1,1
389,2019-02-16,1,5,1,1,0,0,0,경남,창원시(통합),0,0,0,1,1,0,0,128.5671,35.2064,경남창원시(통합),0,0,0,1,0,86,1,1
